Population_density,Agricultural_Land,Land_Area,Armed_Forces_size,Birth_Rate,Co2_Emissions,CPI,CPI_Change,Fertility_Rate,Forested_Area,Gasoline_Price,GDP,GPEM,GTEE,Infant_mortality,Life_expectancy,Maternal_mortality_ratio,Minimum_wage,Out_of_pocket_health_expenditure,Physicians_per_thousand,Population,LFPR,Tax_revenue ,tax_rate,Unemployment_rate,Urban_population
225.00,0.49,"48,670.00","71,000.00",19.51,"25,258.00",135.50,0.02,2.35,0.42,1.07,"88,941,298,258.00",1.06,0.60,24.10,73.90,95.00,0.40,0.44,1.56,"10,738,958.00",0.64,0.13,0.49,0.06,"8,787,475.00"
71.00,0.22,"283,561.00","41,000.00",19.72,"41,155.00",124.14,0.00,2.43,0.50,0.61,"107,435,665,000.00",1.03,0.45,12.20,76.80,59.00,2.46,0.44,2.04,"17,373,662.00",0.68,,0.34,0.04,"11,116,711.00"
103.00,0.04,"1,001,450.00","836,000.00",26.38,"238,560.00",288.57,0.09,3.33,0.00,0.40,"303,175,127,598.00",1.06,0.35,18.10,71.80,37.00,,0.62,0.45,"100,388,073.00",0.46,0.13,0.44,0.11,"42,895,824.00"
313.00,0.76,"21,041.00","42,000.00",18.25,"7,169.00",111.23,0.00,2.04,0.13,0.83,"27,022,640,000.00",0.95,0.29,11.80,73.10,46.00,0.50,0.28,1.57,"6,453,553.00",0.59,0.18,0.36,0.04,"4,694,702.00"
50.00,0.10,"28,051.00","1,000.00",33.24,"5,655.00",124.35,0.01,4.51,0.56,,"11,026,774,945.00",0.62,0.02,62.60,58.40,301.00,1.05,0.72,0.40,"1,355,986.00",0.62,0.06,0.79,0.06,"984,812.00"
35.00,0.75,"117,600.00","202,000.00",30.30,711.00,,,4.06,0.15,2.00,"2,065,001,626.00",0.68,0.03,31.30,65.90,480.00,,0.52,0.06,"6,333,135.00",0.78,,0.84,0.05,"1,149,670.00"
31.00,0.23,"45,228.00","6,000.00",10.90,"16,590.00",122.14,0.02,1.59,0.51,1.14,"31,386,949,981.00",0.97,0.70,2.10,78.20,9.00,3.14,0.23,4.48,"1,331,824.00",0.64,0.21,0.48,0.05,"916,024.00"
67.00,,"17,364.00",,,,,,,,,"3,791,304,348.00",,,,,,,0.11,,"1,093,238.00",,0.29,,,
115.00,0.36,"1,104,300.00","138,000.00",32.34,"14,870.00",143.86,0.16,4.25,0.13,0.75,"96,107,662,398.00",1.01,0.08,39.10,66.20,401.00,,0.38,0.08,"112,078,730.00",0.80,0.08,0.38,0.02,"23,788,710.00"
49.00,0.23,"18,274.00","4,000.00",21.28,"2,046.00",132.30,0.02,2.77,0.56,0.82,"5,535,548,972.00",1.06,0.16,21.60,67.30,34.00,1.28,0.21,0.84,"889,953.00",0.58,0.24,0.32,0.04,"505,048.00"
18.00,0.08,"338,145.00","25,000.00",8.60,"45,871.00",112.33,0.01,1.41,0.73,1.45,"268,761,201,365.00",1.00,0.88,1.40,81.70,3.00,,0.20,3.81,"5,520,314.00",0.59,0.21,0.37,0.07,"4,716,888.00"
